x0,x1,y0,y1,v,a,r
39.0,191.0,-12.0,71.0,-8.0,0.0,1.0
35.0,187.0,-4.0,79.0,-7.0,0.0,1.0
31.0,183.0,3.0,86.0,-6.0,0.0,1.0
27.0,179.0,9.0,92.0,-5.0,0.0,1.0
23.0,175.0,14.0,97.0,-4.0,0.0,1.0
19.0,171.0,18.0,101.0,-3.0,0.0,1.0
15.0,167.0,21.0,104.0,-2.0,0.0,1.0
11.0,163.0,23.0,106.0,-1.0,0.0,1.0
7.0,159.0,24.0,107.0,0.0,0.0,1.0
3.0,155.0,24.0,107.0,1.0,0.0,1.0
151.0,0.0,106.0,0.0,2.0,0.0,1.0
147.0,0.0,104.0,0.0,3.0,0.0,1.0
143.0,287.0,101.0,41.0,4.0,0.0,1.0
139.0,283.0,97.0,37.0,5.0,0.0,1.0
135.0,279.0,92.0,32.0,6.0,0.0,1.0
131.0,275.0,86.0,26.0,7.0,0.0,1.0
127.0,271.0,79.0,19.0,8.0,0.0,1.0
123.0,267.0,71.0,11.0,9.0,0.0,1.0
119.0,263.0,62.0,2.0,10.0,0.0,1.0
115.0,259.0,52.0,-8.0,10.0,0.0,1.0
111.0,255.0,42.0,-18.0,10.0,0.0,1.0
107.0,251.0,32.0,-28.0,10.0,0.0,1.0
103.0,247.0,22.0,-38.0,10.0,0.0,1.0
99.0,243.0,12.0,-48.0,10.0,0.0,1.0
95.0,239.0,2.0,-58.0,10.0,0.0,1.0
91.0,235.0,-8.0,-68.0,10.0,0.0,1.0
87.0,231.0,-18.0,-78.0,10.0,0.0,1.0
83.0,227.0,-28.0,-88.0,10.0,0.0,1.0
79.0,223.0,-19.0,-79.0,-9.0,1.0,1.0
75.0,219.0,-10.0,-70.0,-8.0,0.0,1.0
71.0,215.0,-2.0,-62.0,-7.0,0.0,1.0
67.0,211.0,5.0,-55.0,-6.0,0.0,1.0
63.0,207.0,11.0,-49.0,-5.0,0.0,1.0
59.0,203.0,16.0,-44.0,-4.0,0.0,1.0
55.0,199.0,20.0,-40.0,-3.0,0.0,1.0
51.0,195.0,23.0,-37.0,-2.0,0.0,1.0
47.0,191.0,25.0,-35.0,-1.0,0.0,1.0
43.0,187.0,26.0,-34.0,0.0,0.0,1.0
39.0,183.0,26.0,-34.0,1.0,0.0,1.0
35.0,179.0,25.0,-35.0,2.0,0.0,1.0
31.0,175.0,23.0,-37.0,3.0,0.0,1.0
27.0,171.0,20.0,-40.0,4.0,0.0,1.0
23.0,167.0,16.0,-44.0,5.0,0.0,1.0
19.0,163.0,11.0,-49.0,6.0,0.0,1.0
15.0,159.0,5.0,-55.0,7.0,0.0,1.0
11.0,155.0,-2.0,-62.0,8.0,0.0,1.0
7.0,151.0,-10.0,-70.0,9.0,0.0,1.0
3.0,147.0,-19.0,-79.0,10.0,0.0,1.0
143.0,0.0,-89.0,0.0,10.0,0.0,1.0
139.0,0.0,-80.0,0.0,-9.0,1.0,1.0
135.0,287.0,-71.0,6.0,-9.0,1.0,1.0
131.0,283.0,-62.0,15.0,-9.0,1.0,1.0
127.0,279.0,-53.0,24.0,-9.0,1.0,1.0
123.0,275.0,-44.0,33.0,-9.0,1.0,1.0
119.0,271.0,-35.0,42.0,-9.0,1.0,1.0
115.0,267.0,-26.0,51.0,-9.0,1.0,1.0
111.0,263.0,-17.0,60.0,-9.0,1.0,1.0
107.0,259.0,-8.0,69.0,-8.0,0.0,1.0
103.0,255.0,0.0,77.0,-7.0,0.0,1.0
99.0,251.0,7.0,84.0,-6.0,0.0,1.0
95.0,247.0,13.0,90.0,-5.0,0.0,1.0
91.0,243.0,18.0,95.0,-4.0,0.0,1.0
87.0,239.0,22.0,99.0,-3.0,0.0,1.0
83.0,235.0,25.0,102.0,-2.0,0.0,1.0
79.0,231.0,27.0,104.0,-1.0,0.0,1.0
75.0,227.0,28.0,105.0,0.0,0.0,1.0
71.0,223.0,28.0,105.0,1.0,0.0,1.0
67.0,219.0,27.0,104.0,2.0,0.0,1.0
63.0,215.0,25.0,102.0,3.0,0.0,1.0
59.0,211.0,22.0,99.0,4.0,0.0,1.0
55.0,207.0,18.0,95.0,5.0,0.0,1.0
51.0,203.0,13.0,90.0,6.0,0.0,1.0
47.0,199.0,7.0,84.0,7.0,0.0,1.0
43.0,195.0,0.0,77.0,8.0,0.0,1.0
