x0,x1,y0,y1,v,a,r
101.0,245.0,0.0,52.0,-7.0,0.0,1.0
97.0,241.0,7.0,59.0,-6.0,0.0,1.0
93.0,237.0,13.0,65.0,-5.0,0.0,1.0
89.0,233.0,18.0,70.0,-4.0,0.0,1.0
85.0,229.0,22.0,74.0,-3.0,0.0,1.0
81.0,225.0,25.0,77.0,-2.0,0.0,1.0
77.0,221.0,27.0,79.0,-1.0,0.0,1.0
73.0,217.0,28.0,80.0,0.0,0.0,1.0
69.0,213.0,28.0,80.0,1.0,0.0,1.0
65.0,209.0,27.0,79.0,2.0,0.0,1.0
61.0,205.0,25.0,77.0,3.0,0.0,1.0
57.0,201.0,22.0,74.0,4.0,0.0,1.0
53.0,197.0,18.0,70.0,5.0,0.0,1.0
49.0,193.0,13.0,65.0,6.0,0.0,1.0
45.0,189.0,7.0,59.0,7.0,0.0,1.0
41.0,185.0,0.0,52.0,8.0,0.0,1.0
37.0,181.0,-8.0,44.0,9.0,0.0,1.0
33.0,177.0,-17.0,35.0,10.0,0.0,1.0
29.0,173.0,-27.0,25.0,10.0,0.0,1.0
25.0,169.0,-18.0,34.0,-9.0,1.0,1.0
21.0,165.0,-9.0,43.0,-8.0,0.0,1.0
17.0,161.0,-1.0,51.0,-7.0,0.0,1.0
13.0,157.0,6.0,58.0,-6.0,0.0,1.0
9.0,153.0,12.0,64.0,-5.0,0.0,1.0
5.0,149.0,17.0,69.0,-4.0,0.0,1.0
1.0,145.0,21.0,73.0,-3.0,0.0,1.0
141.0,0.0,76.0,0.0,-2.0,0.0,1.0
137.0,287.0,78.0,13.0,-1.0,0.0,1.0
133.0,283.0,79.0,14.0,0.0,0.0,1.0
129.0,279.0,79.0,14.0,1.0,0.0,1.0
125.0,275.0,78.0,13.0,2.0,0.0,1.0
121.0,271.0,76.0,11.0,3.0,0.0,1.0
117.0,267.0,73.0,8.0,4.0,0.0,1.0
113.0,263.0,69.0,4.0,5.0,0.0,1.0
109.0,259.0,64.0,-1.0,6.0,0.0,1.0
105.0,255.0,58.0,-7.0,7.0,0.0,1.0
101.0,251.0,51.0,-14.0,8.0,0.0,1.0
97.0,247.0,43.0,-22.0,9.0,0.0,1.0
93.0,243.0,34.0,-31.0,10.0,0.0,1.0
89.0,239.0,24.0,-41.0,10.0,0.0,1.0
85.0,235.0,14.0,-51.0,10.0,0.0,1.0
81.0,231.0,4.0,-61.0,10.0,0.0,1.0
77.0,227.0,-6.0,-71.0,10.0,0.0,1.0
73.0,223.0,-16.0,-81.0,10.0,0.0,1.0
69.0,219.0,-26.0,-91.0,10.0,0.0,1.0
65.0,215.0,-17.0,-82.0,-9.0,1.0,1.0
61.0,211.0,-8.0,-73.0,-8.0,0.0,1.0
57.0,207.0,0.0,-65.0,-7.0,0.0,1.0
53.0,203.0,7.0,-58.0,-6.0,0.0,1.0
49.0,199.0,13.0,-52.0,-5.0,0.0,1.0
45.0,195.0,18.0,-47.0,-4.0,0.0,1.0
41.0,191.0,22.0,-43.0,-3.0,0.0,1.0
37.0,187.0,25.0,-40.0,-2.0,0.0,1.0
33.0,183.0,27.0,-38.0,-1.0,0.0,1.0
29.0,179.0,28.0,-37.0,0.0,0.0,1.0
25.0,175.0,28.0,-37.0,1.0,0.0,1.0
21.0,171.0,27.0,-38.0,2.0,0.0,1.0
17.0,167.0,25.0,-40.0,3.0,0.0,1.0
13.0,163.0,22.0,-43.0,4.0,0.0,1.0
9.0,159.0,18.0,-47.0,5.0,0.0,1.0
5.0,155.0,13.0,-52.0,6.0,0.0,1.0
1.0,151.0,7.0,-58.0,7.0,0.0,1.0
147.0,0.0,-65.0,0.0,8.0,0.0,1.0
143.0,287.0,-56.0,-67.0,-9.0,1.0,1.0
139.0,283.0,-47.0,-58.0,-9.0,1.0,1.0
135.0,279.0,-38.0,-49.0,-9.0,1.0,1.0
131.0,275.0,-29.0,-40.0,-9.0,1.0,1.0
127.0,271.0,-20.0,-31.0,-9.0,1.0,1.0
123.0,267.0,-11.0,-22.0,-8.0,0.0,1.0
119.0,263.0,-3.0,-14.0,-7.0,0.0,1.0
115.0,259.0,4.0,-7.0,-6.0,0.0,1.0
111.0,255.0,10.0,-1.0,-5.0,0.0,1.0
107.0,251.0,15.0,4.0,-4.0,0.0,1.0
103.0,247.0,19.0,8.0,-3.0,0.0,1.0
99.0,243.0,22.0,11.0,-2.0,0.0,1.0
95.0,239.0,24.0,13.0,-1.0,0.0,1.0
91.0,235.0,25.0,14.0,0.0,0.0,1.0
87.0,231.0,25.0,14.0,1.0,0.0,1.0
83.0,227.0,24.0,13.0,2.0,0.0,1.0
79.0,223.0,22.0,11.0,3.0,0.0,1.0
75.0,219.0,19.0,8.0,4.0,0.0,1.0
71.0,215.0,15.0,4.0,5.0,0.0,1.0
67.0,211.0,10.0,-1.0,6.0,0.0,1.0
63.0,207.0,4.0,-7.0,7.0,0.0,1.0
59.0,203.0,-3.0,-14.0,8.0,0.0,1.0
55.0,199.0,-11.0,-22.0,9.0,0.0,1.0
51.0,195.0,-20.0,-31.0,10.0,0.0,1.0
47.0,191.0,-30.0,-41.0,10.0,0.0,1.0
43.0,187.0,-21.0,-32.0,-9.0,1.0,1.0
39.0,183.0,-12.0,-23.0,-8.0,0.0,1.0
35.0,179.0,-4.0,-15.0,-7.0,0.0,1.0
31.0,175.0,3.0,-8.0,-6.0,0.0,1.0
27.0,171.0,9.0,-2.0,-5.0,0.0,1.0
23.0,167.0,14.0,3.0,-4.0,0.0,1.0
19.0,163.0,18.0,7.0,-3.0,0.0,1.0
15.0,159.0,21.0,10.0,-2.0,0.0,1.0
11.0,155.0,23.0,12.0,-1.0,0.0,1.0
7.0,151.0,24.0,13.0,0.0,0.0,1.0
3.0,147.0,24.0,13.0,1.0,0.0,1.0
143.0,0.0,12.0,0.0,2.0,0.0,1.0
139.0,0.0,10.0,0.0,3.0,0.0,1.0
135.0,287.0,7.0,48.0,4.0,0.0,1.0
131.0,283.0,3.0,44.0,5.0,0.0,1.0
127.0,279.0,-2.0,39.0,6.0,0.0,1.0
123.0,275.0,-8.0,33.0,7.0,0.0,1.0
119.0,271.0,-15.0,26.0,8.0,0.0,1.0
115.0,267.0,-23.0,18.0,9.0,0.0,1.0
111.0,263.0,-32.0,9.0,10.0,0.0,1.0
107.0,259.0,-23.0,18.0,-9.0,1.0,1.0
103.0,255.0,-14.0,27.0,-8.0,0.0,1.0
99.0,251.0,-6.0,35.0,-7.0,0.0,1.0
95.0,247.0,1.0,42.0,-6.0,0.0,1.0
91.0,243.0,7.0,48.0,-5.0,0.0,1.0
87.0,239.0,12.0,53.0,-4.0,0.0,1.0
83.0,235.0,16.0,57.0,-3.0,0.0,1.0
79.0,231.0,19.0,60.0,-2.0,0.0,1.0
75.0,227.0,21.0,62.0,-1.0,0.0,1.0
71.0,223.0,22.0,63.0,0.0,0.0,1.0
67.0,219.0,22.0,63.0,1.0,0.0,1.0
63.0,215.0,21.0,62.0,2.0,0.0,1.0
59.0,211.0,19.0,60.0,3.0,0.0,1.0
55.0,207.0,16.0,57.0,4.0,0.0,1.0
51.0,203.0,12.0,53.0,5.0,0.0,1.0
47.0,199.0,7.0,48.0,6.0,0.0,1.0
43.0,195.0,1.0,42.0,7.0,0.0,1.0
39.0,191.0,-6.0,35.0,8.0,0.0,1.0
35.0,187.0,-14.0,27.0,9.0,0.0,1.0
31.0,183.0,-23.0,18.0,10.0,0.0,1.0
27.0,179.0,-33.0,8.0,10.0,0.0,1.0
23.0,175.0,-24.0,17.0,-9.0,1.0,1.0
19.0,171.0,-15.0,26.0,-8.0,0.0,1.0
15.0,167.0,-7.0,34.0,-7.0,0.0,1.0
11.0,163.0,0.0,41.0,-6.0,0.0,1.0
7.0,159.0,6.0,47.0,-5.0,0.0,1.0
3.0,155.0,11.0,52.0,-4.0,0.0,1.0
151.0,0.0,56.0,0.0,-3.0,0.0,1.0
147.0,0.0,59.0,0.0,-2.0,0.0,1.0
143.0,287.0,61.0,62.0,-1.0,0.0,1.0
139.0,283.0,62.0,63.0,0.0,0.0,1.0
135.0,279.0,62.0,63.0,1.0,0.0,1.0
131.0,275.0,61.0,62.0,2.0,0.0,1.0
127.0,271.0,59.0,60.0,3.0,0.0,1.0
